Date,Day,Month,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal (Y/N),Species
3-Sep-17,3,Sep,2017,Unprovoked,JAPAN,Shizuoka Prefecture,Iwata City,Surfing,M,42,Injury to ankle & feet,N,Unknown
2-Sep-17,2,Sep,2017,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,17,Minor injury to right hand,N,Unknown
29-Aug-17,29,Aug,2017,Unprovoked,AUSTRALIA,Victoria,Cathedral Rock,Surfing,M,37,"No injury, board bitten",N,White shark
27-Aug-17,27,Aug,2017,Unprovoked,USA,Florida,Bathtub Beach,Walking,F,3,Leg injured,N,Unknown
10-Aug-17,10,Aug,2017,Unprovoked,USA,South Carolina,"Sea Pines Resort, Hilton Head Island, Beaufort County",Swimming,M,13,Minor cuts to sole & toes of left foot,N,Unknown
5-Aug-17,5,Aug,2017,Unprovoked,EGYPT,Red Sea Protectorate,Marsa Ghalib,Snorkeling,F,20,Bite to right leg/hip,N,Oceanic whitetip shark
31-Jul-17,31,Jul,2017,Unprovoked,USA,Florida,"Jacksonvlle, Duval County",Paddle and Boogie boarding,M,15,Lacerations to lower leg,N,Unknown
24-Jul-17,24,Jul,2017,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,English Bay,Surfing,M,37,Torso bitten,N,Unknown
20-Jul-17,20,Jul,2017,Boating,USA,California,"Stearns Wharf, Santa Barbara",Kayaking,M,40,"No injury, kayak bitten",N,White shark
9-Jul-17,9,Jul,2017,Unprovoked,USA,Florida,"Haulover Beach, Miami-Dade County",Swimming,M,46,Lower legs bitten,N,Bull shark
7-Jul-17,7,Jul,2017,Provoked,MEXICO,Tabasco,"S?nchez Magallanes, C?rdenas",Fishing,M,32,Hand bitten by hooked shark PROVOKED INCIDENT,N,Tiger shark
7-Jul-17,7,Jul,2017,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Reef, East London",Surfing,F,13,"No injury, shark bit surfboard",N,White shark
21-Jun-17,21,Jun,2017,Unprovoked,USA,South Carolina,"South Forest Beach, Hilton Head Island, Beaufort County",Swimming,F,16,Left foot bitten,N,Unknown
18-Jun-17,18,Jun,2017,Unprovoked,USA,South Carolina,"Burkes Beach, Hilton Head, Beaufort County",Swimming,F,14,Leg bitten,N,Bull shark
18-Jun-17,18,Jun,2017,Unprovoked,REUNION,NA,Roches Noire,Paddle and Boogie boarding,M,34,"No injury, shark bit surfboard",N,Bull shark
17-Jun-17,17,Jun,2017,Unprovoked,SPAIN,Ibiza Island,Playa d?en Bossa,Swimming,M,82,2-inch laceration to hand,N,Unknown
11-Jun-17,11,Jun,2017,Unprovoked,AUSTRALIA,Western Australia,"Point Casuarina, Bunbury",Paddle and Boogie boarding,M,48,"No injury, board bitten",N,White shark
10-Jun-17,10,Jun,2017,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,19,Laceration to left foot,N,Unknown
7-Jun-17,7,Jun,2017,Unprovoked,UNITED KINGDOM,South Devon,Bantham Beach,Surfing,M,30,"Bruise to leg, cuts to hand sustained when he hit the shark",N,Unknown
2-Jun-17,2,Jun,2017,Unprovoked,BAHAMAS,New Providence,Athol Island,Snorkeling,F,32,Right forearm severed,N,Tiger shark
27-May-17,27,May,2017,Invalid,AUSTRALIA,New South Wales,Evans Head,Fishing,M,73,Abrasion to right forearm from pectoral fin of a shark that leapt into his boat,N,Unknown
12-May-17,12,May,2017,Unprovoked,UNITED ARAB?EMIRATES,"Sharjah,",Khor Fakkan,Fishing,M,41,Right leg severely bitten,N,Unknown
5-May-17,5,May,2017,Unprovoked,MEXICO,Baja California Sur,"Los Arbolitos, Cabo Pulmo",Snorkeling,M,33,FATAL,Y,Unknown
29-Apr-17,29,Apr,2017,Unprovoked,SOUTH AFRICA,Western Cape Province,"Keurbooms, Plettenberg Bay",Surfing,M,14,Minor injury to right calf,N,Unknown
29-Apr-17,29,Apr,2017,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",Surfing,F,33,Left foot bitten,N,Unknown
29-Apr-17,29,Apr,2017,Unprovoked,REUNION,Saint-Leu,Pointe au Sal,Paddle and Boogie boarding,M,28,FATAL,Y,Unknown
22-Apr-17,22,Apr,2017,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,English Bay,Snorkeling,F,40,Calf & foot bitten,N,Unknown
17-Apr-17,17,Apr,2017,Unprovoked,AUSTRALIA,Western Australia,Kelpies near Wylie Bay,Surfing,F,17,FATAL,Y,White shark
14-Apr-17,14,Apr,2017,Unprovoked,USA,Hawaii,"Kekaha Beach, Kauai",Surfing,M,28,Lower right leg severely injured,N,Tiger shark
13-Apr-17,13,Apr,2017,Unprovoked,USA,Florida,"Hanna Park, Jacksonville, Duval County",Surfing,M,17,Lacerations to right foot,N,Unknown
11-Apr-17,11,Apr,2017,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Surfing,F,35,Calf bitten,N,Unknown
10-Apr-17,10,Apr,2017,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Paddle and Boogie boarding,F,10,Laceration to calf,N,Unknown
10-Apr-17,10,Apr,2017,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,F,21,Minor injury to left hand,N,Unknown
6-Apr-17,6,Apr,2017,Unprovoked,USA,Florida,"Daytona, Volusia County",Swimming,M,16,Foot injured,N,Unknown
5-Apr-17,5,Apr,2017,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,F,51,"Thigh nipped, minor injury",N,Unknown
2-Apr-17,2,Apr,2017,Unprovoked,AUSTRALIA,Queensland,Moreton Bay,Kayaking,M,39,"No injury, shark bit off stern of kayak",N,Unknown
2-Apr-17,2,Apr,2017,Unprovoked,USA,Florida,"Destin, Okaloosa County",Swimming,F,17,Lacerations to thighs,N,Bull shark
27-Mar-17,27,Mar,2017,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,58,Minor injury to left foot,N,Unknown
19-Mar-17,19,Mar,2017,Unprovoked,AUSTRALIA,New South Wales,The Farm,Paddle and Boogie boarding,M,30,Minor,N,Unknown
11-Mar-17,11,Mar,2017,Unprovoked,PHILIPPINES,Luzon Island,"Villamar, Caoayan",Fishing,M,25,Right thigh injured,N,Unknown
9-Mar-17,9,Mar,2017,Unprovoked,BAHAMAS,Great Exuma,NA,Swimming,M,58,Abrasions & lacerations to left leg and hand,N,Lemon shark
21-Feb-17,21,Feb,2017,Unprovoked,REUNION,Saint-Andre,NA,Paddle and Boogie boarding,M,26,Fatal,Y,Unknown
17-Feb-17,17,Feb,2017,Unprovoked,AUSTRALIA,Queensland,Eva Rock,Fishing,M,26,Left leg severely bitten,N,Unknown
11-Feb-17,11,Feb,2017,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,M,22,Injury to hand,N,Unknown
1-Feb-17,1,Feb,2017,Unprovoked,BAHAMAS,Bimini,NA,Diving,M,37,Lacerations to upper right arm,N,Caribbean reef shark
24-Jan-17,24,Jan,2017,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Swimming,M,21,Minor laceration to ring finger,N,Unknown
21-Jan-17,21,Jan,2017,Unprovoked,AUSTRALIA,Queensland,"Boot Reef, Torres Strait",Diving,M,55,"Multiple injuries to arm, wrist and torso",N,Bull shark
13-Jan-17,13,Jan,2017,Unprovoked,AUSTRALIA,Queensland,Clairview,Swimming,M,57,Injury to hand,N,Unknown
9-Jan-17,9,Jan,2017,Unprovoked,INDONESIA,Bali,Balian Beach,Surfing,M,48,Injury to right wrist & forearm,N,Bull shark
5-Jan-17,5,Jan,2017,Unprovoked,USA,Florida,"Blockhouse Beach, Brevard County",Walking,M,47,Minor injuries to foot,N,Unknown
27-Dec-16,27,Dec,2016,Unprovoked,USA,Florida,"Avalon State Park Beach, North Hutchinson Island, St Lucie County",Surfing,M,16,Lacerations to right forearm,N,Unknown
19-Dec-16,19,Dec,2016,Unprovoked,SOUTH AFRICA,Western Cape Province,"Keurbooms Lagoon, Plettenberg Bay",Surfing,M,55,"No injury, but ski severely damaged",N,White shark
14-Dec-16,14,Dec,2016,Unprovoked,AUSTRALIA,Western Australia,Trigg Beach,Diving,M,61,Punctures to left foot/ankle,N,Unknown
6-Dec-16,6,Dec,2016,Provoked,AUSTRALIA,New South Wales,Merimbula,Fishing,M,20,Lacerations to both hands while attempting to land a hooked shark PROVOKED INCIDENT,N,Wobbegong shark
1-Dec-16,1,Dec,2016,Unprovoked,AUSTRALIA,New South Wales,Booti Booti National Park,Surfing,M,65,Injuries to foot & arm,N,White shark
28-Nov-16,28,Nov,2016,Provoked,AUSTRALIA,Victoria,Queenscliff,Fishing,M,73,Laceration to right hand by hooked & gaffed shark. PROVOKED INCIDENT,N,Sevengill shark
14-Nov-16,14,Nov,2016,Unprovoked,USA,Hawaii,"Kamaole Beach Park I, Maui",Floating,F,58,Injuries to right calf and thigh,N,Tiger shark
30-Oct-16,30,Oct,2016,Unprovoked,USA,Florida,"Mayport Naval Station Beach, Duval County",Surfing,M,41,Lacerations to right foot and ankle,N,Unknown
29-Oct-16,29,Oct,2016,Unprovoked,USA,Florida,Mayport Naval Station  Duval County,Surfing,M,42,Lacerations to right hand,N,Unknown
24-Oct-16,24,Oct,2016,Unprovoked,AUSTRALIA,New South Wales,Broken Head Beach,Surfing,M,36,Lacerations to left thigh,N,Unknown
21-Oct-16,21,Oct,2016,Unprovoked,USA,Hawaii,"Hooipa Beach Park, Maui",Surfing,M,36,Left arm and leg injured,N,Unknown
14-Oct-16,14,Oct,2016,Unprovoked,USA,Hawaii,"Charlie Young Beach, Kihei, Maui",Snorkeling,F,66,Injuries to left calf,N,Unknown
12-Oct-16,12,Oct,2016,Unprovoked,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,M,25,Minor wound to lower right leg & surfboard bitten,N,Unknown
10-Oct-16,10,Oct,2016,Unprovoked,USA,Oregon,"Indian Beach, Ecola State Park, Clatsop County",Surfing,M,29,Wounds to upper thigh and lower leg,N,Unknown
2-Oct-16,2,Oct,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,21,Cuts to dorsal surface of left foot,N,Unknown
1-Oct-16,1,Oct,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,32,Minor injuries,N,Unknown
26-Sep-16,26,Sep,2016,Unprovoked,AUSTRALIA,New South Wales,"Lighthouse Beach, Ballina",Surfing,M,17,4 deep lacerations to thigh,N,White shark
18-Sep-16,18,Sep,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,16,Minor injury to thigh,N,Unknown
18-Sep-16,18,Sep,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,36,Lacerations to hands,N,Unknown
18-Sep-16,18,Sep,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,43,Lacerations to lower leg,N,Unknown
17-Sep-16,17,Sep,2016,Unprovoked,USA,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",Surfing,M,43,"No injury, board bitten",N,Unknown
7-Sep-16,7,Sep,2016,Unprovoked,USA,Hawaii,"Makaha, Oahu",Swimming,F,51,Severe lacerations to shoulder & forearm,N,Tiger shark
6-Sep-16,6,Sep,2016,Unprovoked,NEW CALEDONIA,North Province,Koumac,Surfing,M,50,FATAL,Y,Unknown
5-Sep-16,5,Sep,2016,Unprovoked,USA,South Carolina,"Kingston Plantation, Myrtle Beach, Horry County",Paddle and Boogie boarding,F,12,Lacerations & punctures to lower right leg,N,Unknown
4-Sep-16,4,Sep,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Paddle and Boogie boarding,M,9,Foot bitten,N,Unknown
1-Sep-16,1,Sep,2016,Unprovoked,USA,California,"Refugio State Beach, Santa Barbara County",Fishing,M,22,Two toes broken & lacerated,N,White shark
29-Aug-16,29,Aug,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,25,Lacerations to right foot,N,Bull shark
29-Aug-16,29,Aug,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,37,Minor injury to ankle,N,Unknown
27-Aug-16,27,Aug,2016,Unprovoked,REUNION,NA,Boucan Canot,Surfing,M,20,"Right arm severed, ankle severely bitten",N,Bull shark
25-Aug-16,25,Aug,2016,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Walking,M,49,Minor injury to ankle,N,Unknown
7-Aug-16,7,Aug,2016,Unprovoked,BAHAMAS,New Providence Island,Nassau,Snorkeling,M,15,Lacerations to left leg,N,Unknown
6-Aug-16,6,Aug,2016,Unprovoked,USA,Hawaii,Maui,Paddle and Boogie boarding,M,21,"No inury, shark & board collided",N,Tiger shark
4-Aug-16,4,Aug,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,22,Big toe bitten,N,Blacktip shark
29-Jul-16,29,Jul,2016,Unprovoked,SPAIN,Alicante Province,Arenales del Sol,Swimming,M,40,Lacerations to right hand,N,Blue shark
28-Jul-16,28,Jul,2016,Unprovoked,CHINA,Hong Kong,NA,Swimming,M,72,Lacerations to leg,N,Unknown
26-Jul-16,26,Jul,2016,Unprovoked,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,M,18,"No injury. Leg rope severed, knocked off board by shark",N,Unknown
24-Jul-16,24,Jul,2016,Unprovoked,JAPAN,Kochi Prefecture,Irino Beach,Surfing,M,29,Lacerations to left leg,N,Unknown
23-Jul-16,23,Jul,2016,Unprovoked,AUSTRALIA,Tasmania,Clifton Beach,Surfing,M,36,Calf bumped but no injury,N,Unknown
20-Jul-16,20,Jul,2016,Provoked,AUSTRALIA,Queensland,"20 k off The Spit, off the Gold Coast",Fishing,M,31,Laceration to left calf from hooked shark PROVOKED INCIDENT,N,Reef shark
16-Jul-16,16,Jul,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,9,Minor injury to leg,N,Unknown
15-Jul-16,15,Jul,2016,Unprovoked,USA,California,"Surfside, Orange County",Surfing,M,61,"No injury, board damaged",N,White shark
8-Jul-16,8,Jul,2016,Unprovoked,SPAIN,Canary Islands,"Las Teresitas, Tenerife",Walking,F,10,"5 tiny puncture marks to lower leg, treated with hydrogen peroxide",N,Angel shark
7-Jul-16,7,Jul,2016,Provoked,USA,Massachusetts,"Off Gloucester, Essec County",Fishing,M,59,Fin of hooked shark injured fisherman's forearm. . PROVOKED INCIDENT,N,Dogfish shark
6-Jul-16,6,Jul,2016,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,F,42,"Buttocks, thigh, left hand & wrist injured",N,Unknown
4-Jul-16,4,Jul,2016,Provoked,AUSTRALIA,Queensland,Palm Cove,Fishing,M,34,Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT,N,Grey nurse shark
25-Jun-16,25,Jun,2016,Unprovoked,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Surfing,M,11,Foot injured,N,Unknown
24-Jun-16,24,Jun,2016,Unprovoked,COLUMBIA,Isla Provedencia,NA,Diving,M,59,Severe bite to right hand,N,Caribbean reef shark
23-Jun-16,23,Jun,2016,Unprovoked,SOUTH AFRICA,Western Cape Province,Ryspunt,Fishing,M,43,Injuries to left leg & right hand,N,White shark
21-Jun-16,21,Jun,2016,Unprovoked,USA,South Carolina,"North Myrtle Beach, Horry County",Floating,M,42,Lacerations and punctures to foot,N,Unknown
15-Jun-16,15,Jun,2016,Provoked,AUSTRALIA,Western Australia,Coral Bay,Fishing,M,19,No injury but shark punctured his wetsuit after he prodded it with his spear PROVOKED INCIDENT,N,Unknown
14-Jun-16,14,Jun,2016,Unprovoked,USA,Texas,"Pirates Beach, Galveston",Floating,F,6,Injury to lower leg,N,Unknown
11-Jun-16,11,Jun,2016,Unprovoked,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Standing,M,19,Laceration to wrist,N,Unknown
5-Jun-16,5,Jun,2016,Unprovoked,USA,Florida,"Flagler Beach, Flagler County",Swimming,M,64,Leg bitten,N,Unknown
5-Jun-16,5,Jun,2016,Unprovoked,AUSTRALIA,Western Australia,Mindarie,Diving,F,60,FATAL,Y,Unknown
4-Jun-16,4,Jun,2016,Unprovoked,EGYPT,Suez,Ain Sokhna,Swimming,M,23,"Leg severely bitten, surgically amputated",N,Mako shark
31-May-16,31,May,2016,Unprovoked,AUSTRALIA,Western Australia,"Falcon Beach, Mandurah",Surfing,M,29,FATAL,Y,White shark
29-May-16,29,May,2016,Unprovoked,USA,Florida,"Neptune, Duval County",Swimming,M,13,Injury to posterior right leg,N,Unknown
22-May-16,22,May,2016,Unprovoked,USA,Florida,"Vero Beach, Indian River County",Swimming,F,57,Puncture wounds to thigh,N,Unknown
21-May-16,21,May,2016,Unprovoked,USA,Florida,"St. Petersburg, Pinellas County",Swimming,F,22,Lacerations and puncture wounds to foot and ankle,N,Bull shark
21-May-16,21,May,2016,Unprovoked,USA,Florida,"Hugenot Beach , Jacksonville, Duval County",Swimming,F,11,"Back, arm & hand injured",N,Unknown
18-May-16,18,May,2016,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Swimming,M,48,Ankle bitten,N,Blacktip shark
3-May-16,3,May,2016,Unprovoked,USA,Hawaii,"Wailea Beach, Maui",Floating,M,59,Minor lacerations to right shoulder,N,Unknown
2-May-16,2,May,2016,Provoked,NEW ZEALAND,North Island,Cormandel,Fishing,M,39,Foot bitten by landed shark PROVOKED INCIDENT,N,Mako shark
25-Apr-16,25,Apr,2016,Unprovoked,INDONESIA,Bali,Balian,Surfing,M,24,Elbow bitten,N,Bull shark
23-Apr-16,23,Apr,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,15,Minor injury to left foot,N,Unknown
19-Apr-16,19,Apr,2016,Unprovoked,AUSTRALIA,New South Wales,"First Sun Beach, Byron Bay",Swimming,M,12,Minor puncture wound to foot,N,Wobbegong shark
18-Apr-16,18,Apr,2016,Provoked,FRENCH POLYNESIA,Tuamotos,Makemo Atoll,Fishing,M,26,"Severe lacerations to right forearm, hand and calf from speared shark PROVOKED INCIDENT",N,Grey reef shark
13-Apr-16,13,Apr,2016,Unprovoked,USA,Florida,"Off Singer Island, Palm Beach County",Fishing,M,26,Multiple bites to right arm,N,Bull shark
9-Apr-16,9,Apr,2016,Unprovoked,NEW CALEDONIA,Grand Terre,Poe Beach,Walking,F,69,FATAL,Y,Tiger shark
7-Apr-16,7,Apr,2016,Unprovoked,USA,Florida,"Florida Keys, Monroe County",Fishing,M,34,Left hand bitten,N,Unknown
31-Mar-16,31,Mar,2016,Unprovoked,USA,Hawaii,"Olowalu, Maui",Snorkeling,F,46,Minor injury to left foot,N,Unknown
30-Mar-16,30,Mar,2016,Unprovoked,AUSTRALIA,New South Wales,Bombo Beach,Surfing,M,22,Severe injury to thigh,N,Unknown
28-Mar-16,28,Mar,2016,Unprovoked,AUSTRALIA,New South Wales,North Cronulla Beach,Surfing,M,41,"No injury, board dented",N,Unknown
